"160";"Dunn";"0.144";"US"
"161";"Perkins";"0.144";"US"
"162";"Hudson";"0.144";"US"
"163";"Spencer";"0.142";"US"
"164";"Gardner";"0.142";"US"
"165";"Stephens";"0.142";"US"
"166";"Payne";"0.142";"US"
"167";"Pierce";"0.139";"US"
"168";"Berry";"0.139";"US"
"169";"Matthews";"0.139";"US"
"170";"Arnold";"0.139";"US"
"171";"Wagner";"0.137";"US"
"172";"Willis";"0.137";"US"
"173";"Ray";"0.137";"US"
"174";"Watkins";"0.137";"US"
"175";"Olson";"0.137";"US"
"176";"Carroll";"0.137";"US"
"177";"Duncan";"0.137";"US"
"178";"Snyder";"0.137";"US"
"179";"Hart";"0.134";"US"
"180";"Cunningham";"0.134";"US"
"181";"Bradley";"0.134";"US"
"182";"Lane";"0.134";"US"
"183";"Andrews";"0.134";"US"
"184";"Ruiz";"0.134";"US"
"185";"Harper";"0.134";"US"
"186";"Fox";"0.132";"US"
"187";"Riley";"0.132";"US"
"188";"Armstrong";"0.132";"US"
"189";"Carpenter";"0.132";"US"
"190";"Weaver";"0.132";"US"
"191";"Greene";"0.132";"US"
"192";"Lawrence";"0.129";"US"
"193";"Elliott";"0.129";"US"
"194";"Chavez";"0.129";"US"
"195";"Sims";"0.129";"US"
"196";"Austin";"0.129";"US"
"197";"Peters";"0.129";"US"
"198";"Kelley";"0.129";"US"
"199";"Franklin";"0.127";"US"
"200";"Lawson";"0.127";"US"
"201";"Fields";"0.127";"US"
"202";"Gutierrez";"0.127";"US"
"203";"Ryan";"0.127";"US"
"204";"Schmidt";"0.127";"US"
"205";"Carr";"0.127";"US"
"206";"Vasquez";"0.127";"US"
"207";"Castillo";"0.127";"US"
"208";"Wheeler";"0.127";"US"
"209";"Chapman";"0.124";"US"
"210";"Oliver";"0.124";"US"
"211";"Montgomery";"0.122";"US"
"212";"Richards";"0.122";"US"
"213";"Williamson";"0.122";"US"
"214";"Johnston";"0.122";"US"
"215";"Banks";"0.119";"US"
"216";"Meyer";"0.119";"US"
"217";"Bishop";"0.119";"US"
"218";"Mccoy";"0.119";"US"
"219";"Howell";"0.119";"US"
"220";"Alvarez";"0.119";"US"
"221";"Morrison";"0.119";"US"
"222";"Hansen";"0.117";"US"
"223";"Fernandez";"0.117";"US"
"224";"Garza";"0.117";"US"
"225";"Harvey";"0.117";"US"
"226";"Little";"0.114";"US"
"227";"Burton";"0.114";"US"
"228";"Stanley";"0.114";"US"
"229";"Nguyen";"0.114";"US"
"230";"George";"0.114";"US"
"231";"Jacobs";"0.114";"US"
"232";"Reid";"0.114";"US"
"233";"Kim";"0.112";"US"
"234";"Fuller";"0.112";"US"
"235";"Lynch";"0.112";"US"
"236";"Dean";"0.112";"US"
"237";"Gilbert";"0.112";"US"
"238";"Garrett";"0.112";"US"
"239";"Romero";"0.112";"US"
"240";"Welch";"0.109";"US"
"241";"Larson";"0.109";"US"
"242";"Frazier";"0.109";"US"
"243";"Burke";"0.109";"US"
"244";"Hanson";"0.107";"US"
"245";"Day";"0.107";"US"
"246";"Mendoza";"0.107";"US"
"247";"Moreno";"0.107";"US"
"248";"Bowman";"0.107";"US"
"249";"Medina";"0.104";"US"
"250";"Fowler";"0.104";"US"
"251";"Brewer";"0.104";"US"
"252";"Hoffman";"0.104";"US"
"253";"Carlson";"0.104";"US"
"254";"Silva";"0.104";"US"
"255";"Pearson";"0.104";"US"
"256";"Holland";"0.104";"US"
"257";"Douglas";"0.102";"US"
"258";"Fleming";"0.102";"US"
"259";"Jensen";"0.102";"US"
"260";"Vargas";"0.102";"US"
"261";"Byrd";"0.102";"US"
"262";"Davidson";"0.102";"US"
"263";"Hopkins";"0.102";"US"
"264";"May";"0.099";"US"
"265";"Terry";"0.099";"US"
"266";"Herrera";"0.099";"US"
"267";"Wade";"0.099";"US"
"268";"Soto";"0.099";"US"
"269";"Walters";"0.099";"US"
"270";"Curtis";"0.099";"US"
"271";"Neal";"0.097";"US"
"272";"Caldwell";"0.097";"US"
"273";"Lowe";"0.097";"US"
"274";"Jennings";"0.097";"US"
"275";"Barnett";"0.097";"US"
"276";"Graves";"0.097";"US"
"277";"Jimenez";"0.097";"US"
"278";"Horton";"0.097";"US"
"279";"Shelton";"0.097";"US"
"280";"Barrett";"0.097";"US"
"281";"Obrien";"0.097";"US"
"282";"Castro";"0.097";"US"
"283";"Sutton";"0.095";"US"
"284";"Gregory";"0.095";"US"
"285";"Mckinney";"0.095";"US"
"286";"Lucas";"0.095";"US"
"287";"Miles";"0.095";"US"
"288";"Craig";"0.095";"US"
"289";"Rodriquez";"0.092";"US"
"290";"Chambers";"0.092";"US"
"291";"Holt";"0.092";"US"
"292";"Lambert";"0.092";"US"
"293";"Fletcher";"0.092";"US"
"294";"Watts";"0.092";"US"
"295";"Bates";"0.092";"US"
"296";"Hale";"0.092";"US"
"297";"Rhodes";"0.092";"US"
"298";"Pena";"0.092";"US"
"299";"Beck";"0.092";"US"
"300";"Newman";"0.090";"US"
"301";"Haynes";"0.090";"US"
"302";"Mcdaniel";"0.090";"US"
"303";"Mendez";"0.090";"US"
"304";"Bush";"0.090";"US"
"305";"Vaughn";"0.090";"US"
"306";"Parks";"0.087";"US"
"307";"Dawson";"0.087";"US"
"308";"Santiago";"0.087";"US"
"309";"Norris";"0.087";"US"
"310";"Hardy";"0.087";"US"
"311";"Love";"0.087";"US"
"312";"Steele";"0.087";"US"
"313";"Curry";"0.087";"US"
"314";"Powers";"0.087";"US"
"315";"Schultz";"0.087";"US"
"316";"Barker";"0.087";"US"
"317";"Guzman";"0.085";"US"
"318";"Page";"0.085";"US"
"319";"Munoz";"0.085";"US"
"320";"Ball";"0.085";"US"
"321";"Keller";"0.085";"US"
"322";"Chandler";"0.085";"US"
"323";"Weber";"0.085";"US"
"324";"Leonard";"0.085";"US"
"325";"Walsh";"0.082";"US"
"326";"Lyons";"0.082";"US"
"327";"Ramsey";"0.082";"US"
"328";"Wolfe";"0.082";"US"
"329";"Schneider";"0.082";"US"
"330";"Mullins";"0.082";"US"
"331";"Benson";"0.082";"US"
"332";"Sharp";"0.082";"US"
"333";"Bowen";"0.082";"US"
"334";"Daniel";"0.082";"US"
"335";"Barber";"0.080";"US"
"336";"Cummings";"0.080";"US"
"337";"Hines";"0.080";"US"
"338";"Baldwin";"0.080";"US"
"339";"Griffith";"0.080";"US"
"340";"Valdez";"0.080";"US"
"341";"Hubbard";"0.080";"US"
"342";"Salazar";"0.080";"US"
"343";"Reeves";"0.080";"US"
"344";"Warner";"0.077";"US"
"345";"Stevenson";"0.077";"US"
"346";"Burgess";"0.077";"US"
"347";"Santos";"0.077";"US"
"348";"Tate";"0.077";"US"
"349";"Cross";"0.077";"US"
"350";"Garner";"0.077";"US"
"351";"Mann";"0.077";"US"
"352";"Mack";"0.077";"US"
"353";"Moss";"0.077";"US"
"354";"Thornton";"0.077";"US"
"355";"Dennis";"0.077";"US"
"356";"Mcgee";"0.077";"US"
"357";"Farmer";"0.075";"US"
"358";"Delgado";"0.075";"US"
"359";"Aguilar";"0.075";"US"
"360";"Vega";"0.075";"US"
"361";"Glover";"0.075";"US"
"362";"Manning";"0.075";"US"
"363";"Cohen";"0.075";"US"
"364";"Harmon";"0.075";"US"
"365";"Rodgers";"0.075";"US"
"366";"Robbins";"0.075";"US"
"367";"Newton";"0.075";"US"
"368";"Todd";"0.075";"US"
"369";"Blair";"0.075";"US"
"370";"Higgins";"0.075";"US"
"371";"Ingram";"0.075";"US"
"372";"Reese";"0.075";"US"
"373";"Cannon";"0.075";"US"
"374";"Strickland";"0.075";"US"
"375";"Townsend";"0.075";"US"
"376";"Potter";"0.075";"US"
"377";"Goodwin";"0.075";"US"
"378";"Walton";"0.075";"US"
"379";"Rowe";"0.072";"US"
"380";"Hampton";"0.072";"US"
"381";"Ortega";"0.072";"US"
"382";"Patton";"0.072";"US"
"383";"Swanson";"0.072";"US"
"384";"Joseph";"0.072";"US"
"385";"Francis";"0.072";"US"
"386";"Goodman";"0.072";"US"
"387";"Maldonado";"0.072";"US"
"388";"Yates";"0.072";"US"
"389";"Becker";"0.072";"US"
"390";"Erickson";"0.072";"US"
"391";"Hodges";"0.072";"US"
"392";"Rios";"0.072";"US"
"393";"Conner";"0.072";"US"
"394";"Adkins";"0.072";"US"
"395";"Webster";"0.070";"US"
"396";"Norman";"0.070";"US"
"397";"Malone";"0.070";"US"
"398";"Hammond";"0.070";"US"
"399";"Flowers";"0.070";"US"
"400";"Cobb";"0.070";"US"
"401";"Moody";"0.070";"US"
"402";"Quinn";"0.070";"US"
"403";"Blake";"0.070";"US"
"404";"Maxwell";"0.070";"US"
"405";"Pope";"0.070";"US"
"406";"Floyd";"0.067";"US"
"407";"Osborne";"0.067";"US"
"408";"Paul";"0.067";"US"
"409";"Mccarthy";"0.067";"US"
"410";"Guerrero";"0.067";"US"
"411";"Lindsey";"0.067";"US"
"412";"Estrada";"0.067";"US"
"413";"Sandoval";"0.067";"US"
