"160";"Lloyd";"0.112";"US"
"161";"Tommy";"0.112";"US"
"162";"Leon";"0.112";"US"
"163";"Derek";"0.112";"US"
"164";"Warren";"0.112";"US"
"165";"Darrell";"0.108";"US"
"166";"Jerome";"0.108";"US"
"167";"Floyd";"0.107";"US"
"168";"Leo";"0.106";"US"
"169";"Alvin";"0.105";"US"
"170";"Tim";"0.104";"US"
"171";"Wesley";"0.104";"US"
"172";"Gordon";"0.104";"US"
"173";"Dean";"0.104";"US"
"174";"Greg";"0.104";"US"
"175";"Jorge";"0.104";"US"
"176";"Dustin";"0.103";"US"
"177";"Pedro";"0.103";"US"
"178";"Derrick";"0.103";"US"
"179";"Dan";"0.101";"US"
"180";"Lewis";"0.099";"US"
"181";"Zachary";"0.099";"US"
"182";"Corey";"0.098";"US"
"183";"Herman";"0.097";"US"
"184";"Maurice";"0.097";"US"
"185";"Vernon";"0.097";"US"
"186";"Roberto";"0.097";"US"
"187";"Clyde";"0.095";"US"
"188";"Glen";"0.094";"US"
"189";"Hector";"0.094";"US"
"190";"Shane";"0.093";"US"
"191";"Ricardo";"0.093";"US"
"192";"Sam";"0.092";"US"
"193";"Rick";"0.091";"US"
"194";"Lester";"0.091";"US"
"195";"Brent";"0.091";"US"
"196";"Ramon";"0.091";"US"
"197";"Charlie";"0.091";"US"
"198";"Tyler";"0.089";"US"
"199";"Gilbert";"0.089";"US"
"200";"Gene";"0.087";"US"
"201";"Marc";"0.087";"US"
"202";"Reginald";"0.084";"US"
"203";"Ruben";"0.082";"US"
"204";"Brett";"0.082";"US"
"205";"Angel";"0.082";"US"
"206";"Nathaniel";"0.081";"US"
"207";"Rafael";"0.081";"US"
"208";"Leslie";"0.081";"US"
"209";"Edgar";"0.081";"US"
"210";"Milton";"0.081";"US"
"211";"Raul";"0.079";"US"
"212";"Ben";"0.078";"US"
"213";"Chester";"0.078";"US"
"214";"Cecil";"0.078";"US"
"215";"Duane";"0.077";"US"
"216";"Franklin";"0.077";"US"
"217";"Andre";"0.076";"US"
"218";"Elmer";"0.074";"US"
"219";"Brad";"0.073";"US"
"220";"Gabriel";"0.073";"US"
"221";"Ron";"0.072";"US"
"222";"Mitchell";"0.072";"US"
"223";"Roland";"0.072";"US"
"224";"Arnold";"0.072";"US"
"225";"Harvey";"0.072";"US"
"226";"Jared";"0.071";"US"
"227";"Adrian";"0.069";"US"
"228";"Karl";"0.069";"US"
"229";"Cory";"0.068";"US"
"230";"Claude";"0.068";"US"
"231";"Erik";"0.068";"US"
"232";"Darryl";"0.067";"US"
"233";"Jamie";"0.066";"US"
"234";"Neil";"0.066";"US"
"235";"Jessie";"0.065";"US"
"236";"Christian";"0.065";"US"
"237";"Javier";"0.065";"US"
"238";"Fernando";"0.065";"US"
"239";"Clinton";"0.065";"US"
"240";"Ted";"0.064";"US"
"241";"Mathew";"0.064";"US"
"242";"Tyrone";"0.064";"US"
"243";"Darren";"0.064";"US"
"244";"Lonnie";"0.064";"US"
"245";"Lance";"0.063";"US"
"246";"Cody";"0.063";"US"
"247";"Julio";"0.063";"US"
"248";"Kelly";"0.063";"US"
"249";"Kurt";"0.062";"US"
"250";"Allan";"0.061";"US"
"251";"Nelson";"0.061";"US"
"252";"Guy";"0.061";"US"
"253";"Clayton";"0.061";"US"
"254";"Hugh";"0.061";"US"
"255";"Max";"0.061";"US"
"256";"Dwayne";"0.061";"US"
"257";"Dwight";"0.061";"US"
"258";"Armando";"0.061";"US"
"259";"Felix";"0.061";"US"
"260";"Jimmie";"0.061";"US"
"261";"Everett";"0.061";"US"
"262";"Jordan";"0.061";"US"
"263";"Ian";"0.061";"US"
"264";"Wallace";"0.061";"US"
"265";"Ken";"0.061";"US"
"266";"Bob";"0.061";"US"
"267";"Jaime";"0.061";"US"
"268";"Casey";"0.061";"US"
"269";"Alfredo";"0.061";"US"
"270";"Alberto";"0.061";"US"
"271";"Dave";"0.061";"US"
"272";"Ivan";"0.061";"US"
"273";"Johnnie";"0.061";"US"
"274";"Sidney";"0.061";"US"
"275";"Byron";"0.061";"US"
"276";"Julian";"0.061";"US"
"277";"Isaac";"0.061";"US"
"278";"Morris";"0.061";"US"
"279";"Clifton";"0.061";"US"
"280";"Willard";"0.061";"US"
"281";"Daryl";"0.061";"US"
"282";"Ross";"0.061";"US"
"283";"Virgil";"0.061";"US"
"284";"Andy";"0.061";"US"
"285";"Marshall";"0.061";"US"
"286";"Salvador";"0.061";"US"
"287";"Perry";"0.061";"US"
"288";"Kirk";"0.061";"US"
"289";"Sergio";"0.061";"US"
"290";"Marion";"0.061";"US"
"291";"Tracy";"0.061";"US"
"292";"Seth";"0.061";"US"
"293";"Kent";"0.061";"US"
"294";"Terrance";"0.061";"US"
"295";"Rene";"0.061";"US"
"296";"Eduardo";"0.061";"US"
"297";"Terrence";"0.061";"US"
"298";"Enrique";"0.061";"US"
"299";"Freddie";"0.061";"US"
"300";"Wade";"0.061";"US"
